Município,Regional,Tipo,Área de atuação,2020,2021,2022,2023,2024,2025
Mairinque,Sorocaba,RRT Inicial,Meio Ambiente,4,6,8,10,1,0
Mairinque,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,51,61,51,31,29,29
Mairinque,Sorocaba,RRT Inicial,Arquitetura das Edificações,205,235,180,190,181,166
Mairinque,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,0,0,0,0,1,1
Mairinque,Sorocaba,RRT Inicial,Conforto Ambiental,0,0,1,2,1,1
Piedade,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,7,13,24,11,8,14
Piedade,Sorocaba,RRT Inicial,Arquitetura das Edificações,48,83,119,143,145,115
Piedade,Sorocaba,RRT Inicial,Meio Ambiente,0,0,0,0,1,0
Piedade,Sorocaba,RRT Inicial,Conforto Ambiental,0,1,0,1,3,3
Piedade,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,1,0,0,0
Piedade,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,3,3,2,7,3,3
Pilar do Sul,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,1,1,0,1
Pilar do Sul,Sorocaba,RRT Inicial,Meio Ambiente,0,0,0,0,1,0
Pilar do Sul,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,0,0,1,0,0,0
Pilar do Sul,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,1,1,0,0,0,0
Pilar do Sul,Sorocaba,RRT Inicial,Conforto Ambiental,2,0,0,3,0,1
Pilar do Sul,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,12,5,4,11,1,2
Pilar do Sul,Sorocaba,RRT Inicial,Arquitetura das Edificações,56,52,49,46,67,73
Porto Feliz,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,20,30,24,20,26,38
Porto Feliz,Sorocaba,RRT Inicial,Arquitetura das Edificações,671,861,583,560,563,604
Porto Feliz,Sorocaba,RRT Inicial,Meio Ambiente,1,0,1,2,2,0
Porto Feliz,Sorocaba,RRT Inicial,Conforto Ambiental,6,13,10,14,3,24
Porto Feliz,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",1,2,4,1,1,0
Porto Feliz,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,2,2,2,2,4,1
Porto Feliz,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,0,0,1,1,0,0
Salto,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,68,56,38,61,75,54
Salto,Sorocaba,RRT Inicial,Arquitetura das Edificações,1355,1297,1287,1119,1408,1278
Salto,Sorocaba,RRT Inicial,Conforto Ambiental,3,6,3,2,12,9
Salto,Sorocaba,RRT Inicial,Meio Ambiente,2,0,0,0,0,1
Salto,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",3,4,4,2,0,1
Salto,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,2,2,0,0,3,1
Salto de Pirapora,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,1,0,4
